Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-09-28,41629.19,44217.32,41394.2,43739.81,2063431130
2012-10-31,43631.67,44617.35,43005.98,43232.44,3678397050
2012-11-30,43408.53,45014.74,42930.77,45014.74,2075671463
2012-12-31,44985.99,47941.82,44971.25,47460.59,1985700291
2013-01-31,47961.62,48222.72,46697.05,46840.15,2929486386
2013-02-28,46937.6,47296.06,45420.61,46280.36,2196411431
2013-03-29,46148.65,47519.43,44428.75,45147.57,2221704284
2013-04-30,45239.35,45688.49,42842.07,44162.18,3143825359
2013-05-31,44103.66,47841.39,43991.51,47806.34,1810837324
2013-06-28,47398.14,48572.75,43329.16,44747.79,2026235989
2013-07-31,44759.97,47239.85,44099.12,46925.65,1617221125
2013-08-30,47210.72,50359.55,47149.82,48871.98,1821342801
2013-09-30,49250.57,51149.71,45017.11,50301.85,2471386016
2013-10-31,50087.47,54725.86,49899.25,53607.86,2504405441
2013-11-29,53886.25,55384.83,52554.81,54704.89,1869917153
2013-12-31,54627.26,54790.24,50409.52,51284.25,1635395438
2014-01-31,51670.42,52074.67,49320.57,50831.61,2305838876
2014-02-28,50934.2,54075.89,50494.52,53811.3,2190641829
2014-03-31,51739.27,52697.98,48765.47,52373.47,2300035391
2014-04-30,52358.13,52871.2,50913.63,51892.77,876852488
2014-05-30,51831.54,52754.81,50258.57,52066.97,1064763315
2014-06-30,52193.82,53436.07,51649.04,51934.94,809799949
2014-07-31,51932.32,51980.27,49980.81,50037.12,796716121
2014-08-29,50082.23,53008,49321.83,51868.77,718333193
2014-09-30,52068.19,55687.59,52068.19,54878.58,1105339216
2014-10-31,54715.88,54907.49,51849.26,53949.58,978202906
2014-11-28,53922.18,54145.86,52663.34,53247.07,694643005
2014-12-31,53050.26,54030.53,50182.53,51416.08,917978325
2015-01-30,51598.39,52585.44,49931.45,52102.39,891366809
2015-02-27,52197.7,53304.77,51595.99,53304.21,802302677
2015-03-31,53392.85,54564.54,52499.33,54091.32,964119729
2015-04-30,53985.99,57192.85,53953.71,56477.69,879693553
2015-05-29,56759.18,57460.44,55498.11,55531.79,804011640
2015-06-30,55599.98,55761.48,51817.29,53328.98,740125249
2015-07-31,53330.19,53687.9,51240.77,52750.94,837575643
2015-08-31,52653.31,53694.88,48048.05,51280.38,1332045184
2015-09-30,50854.1,51880.22,48612.63,49824.59,1308541210
2015-10-30,50010.87,51909.32,49117.34,50271.65,1161722236
2015-11-30,50320.78,50776.76,47603.61,47915.91,1035758691
2015-12-31,48057.16,48267.19,43724.52,46467.38,1330886483
2016-01-29,45701.18,45701.18,41747.01,44290.05,1188642742
2016-02-29,44257.2,46278.94,43230.24,45430.29,1149104223
2016-03-31,45480.07,49017.35,44843.16,49017.35,1271324238
2016-04-29,48745.62,48847.22,47025.11,47641.99,954472881
2016-05-31,47681.11,47954.08,45549.91,45844.15,777377123
2016-06-30,45851.15,46826.85,42812.99,44748.53,995400462
2016-07-29,44973.52,47069.57,43534.02,46171.72,823654853
2016-08-31,46328.4,48776.53,46052.49,47935.1,1082928793
2016-09-30,48045.86,48636.67,46321.24,47084.94,1038462206
